Merchant Transactions as of 10/03/19  00:48 - bubbly2017 - Promo Cards,,,,,,,,
Period 08/03/19 to 09/03/19  -  Sirville - Sirville,,,,,,,,
Gross Total ...... 7044800,,,,,,,,
Discount Total ... ,,,,,,,,
Gratuity Total ... ,,,,,,,,
Nett Total ....... 7044800,,,,,,,,
,,,,,,,,
Terminal,Date,Time,Gross,Discount,Gratuity,Nett,Card,ID
,,,,,,,,
Sirville,08/03/2019,13:32:50,100,0,0,100,4EF54FB5,1234
Sirville,08/03/2019,13:33:40,100,0,0,100,4EF54FB5,1234
Sirville,08/03/2019,13:35:36,100,0,0,100,4EF54FB5,1234
Sirville,08/03/2019,13:38:25,100,0,0,100,4EF54FB5,1234
Sirville,08/03/2019,13:46:25,100,0,0,100,4EF54FB5,1234
Sirville,08/03/2019,20:12:53,40000,0,0,40000,6E671053,1234
Sirville,08/03/2019,20:16:22,24000,0,0,24000,9E3A0C53,1234
Sirville,08/03/2019,20:24:56,40000,0,0,40000,2E84FD52,1234
Sirville,08/03/2019,20:32:03,10000,0,0,10000,DE120753,1234
Sirville,08/03/2019,20:32:33,10000,0,0,10000,9E790B53,1234
Sirville,08/03/2019,20:48:09,30000,0,0,30000,5E1DE7AE,1234
Sirville,08/03/2019,21:06:55,45000,0,0,45000,BE51FF52,1234
Sirville,08/03/2019,21:11:44,92000,0,0,92000,9E3A0C53,1234
Sirville,08/03/2019,21:12:51,65000,0,0,65000,BEAD1153,1234
Sirville,08/03/2019,21:15:44,10000,0,0,10000,BE76EAAE,1234
Sirville,08/03/2019,21:17:48,10000,0,0,10000,7E251253,1234
Sirville,08/03/2019,21:18:36,20000,0,0,20000,BE76EAAE,1234
Sirville,08/03/2019,21:33:31,45000,0,0,45000,2EB21653,1234
Sirville,08/03/2019,21:37:19,50000,0,0,50000,AEF60753,1234
Sirville,08/03/2019,21:50:19,55000,0,0,55000,BE5AE8AE,1234
Sirville,08/03/2019,21:53:43,10000,0,0,10000,8E8E1253,1234
Sirville,08/03/2019,22:04:52,20000,0,0,20000,AECC0653,1234
Sirville,08/03/2019,22:18:03,10000,0,0,10000,AECC0653,1234
Sirville,08/03/2019,22:20:39,20000,0,0,20000,4EF0D6AE,1234
Sirville,08/03/2019,22:33:25,10000,0,0,10000,1EAFEBAE,1234
Sirville,08/03/2019,22:35:49,20000,0,0,20000,3EE7D1AE,1234
Sirville,08/03/2019,22:36:32,32000,0,0,32000,1E630E53,1234
Sirville,08/03/2019,22:48:19,300,0,0,300,9E56DAAE,1234
